# file...... output/IEEE_123_feeder_0_swing_node.csv
# date...... Thu Dec 13 12:05:40 2018
# user...... mukh614
# host...... (null)
# target.... substation 3
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load
2013-08-28 00:00:00 PST,+138000+0i,+1.6262e+06+855353j
2013-08-28 00:01:00 PST,+143011+0j,+1.7071e+06+892537j
2013-08-28 00:02:00 PST,+143011+0j,+1.69041e+06+884323j
2013-08-28 00:03:00 PST,+143011+0j,+1.67634e+06+876970j
2013-08-28 00:04:00 PST,+143011+0j,+1.65974e+06+868820j
2013-08-28 00:05:00 PST,+143011+0j,+1.64573e+06+861517j
2013-08-28 00:06:00 PST,+142995+0j,+1.6215e+06+851636j
2013-08-28 00:07:00 PST,+142995+0j,+1.61487e+06+850106j
2013-08-28 00:08:00 PST,+142995+0j,+1.61018e+06+849215j
2013-08-28 00:09:00 PST,+142995+0j,+1.60005e+06+846000j
2013-08-28 00:10:00 PST,+142995+0j,+1.59321e+06+844279j
2013-08-28 00:11:00 PST,+143028+0j,+1.59969e+06+846565j
2013-08-28 00:12:00 PST,+143028+0j,+1.60269e+06+847201j
2013-08-28 00:13:00 PST,+143028+0j,+1.60574e+06+847718j
2013-08-28 00:14:00 PST,+143028+0j,+1.6121e+06+849733j
2013-08-28 00:15:00 PST,+143028+0j,+1.61841e+06+851865j
2013-08-28 00:16:00 PST,+142986+0j,+1.6137e+06+850180j
2013-08-28 00:17:00 PST,+142986+0j,+1.60949e+06+848644j
2013-08-28 00:18:00 PST,+142986+0j,+1.60861e+06+848608j
2013-08-28 00:19:00 PST,+142986+0j,+1.60765e+06+848682j
2013-08-28 00:20:00 PST,+142986+0j,+1.60339e+06+847261j
2013-08-28 00:21:00 PST,+142990+0j,+1.59796e+06+845393j
2013-08-28 00:22:00 PST,+142990+0j,+1.59567e+06+844959j
2013-08-28 00:23:00 PST,+142990+0j,+1.59331e+06+844636j
2013-08-28 00:24:00 PST,+142990+0j,+1.58768e+06+842832j
2013-08-28 00:25:00 PST,+142990+0j,+1.58213e+06+840919j
2013-08-28 00:26:00 PST,+143005+0j,+1.58628e+06+842353j
2013-08-28 00:27:00 PST,+143005+0j,+1.59059e+06+843916j
2013-08-28 00:28:00 PST,+143005+0j,+1.59165e+06+844001j
2013-08-28 00:29:00 PST,+143005+0j,+1.59276e+06+843970j
2013-08-28 00:30:00 PST,+143005+0j,+1.59714e+06+845423j
2013-08-28 00:31:00 PST,+142960+0j,+1.5971e+06+845611j
2013-08-28 00:32:00 PST,+142960+0j,+1.59424e+06+844587j
2013-08-28 00:33:00 PST,+142960+0j,+1.59144e+06+843450j
2013-08-28 00:34:00 PST,+142960+0j,+1.5919e+06+843794j
2013-08-28 00:35:00 PST,+142960+0j,+1.5923e+06+844253j
2013-08-28 00:36:00 PST,+142961+0j,+1.59068e+06+843586j
2013-08-28 00:37:00 PST,+142961+0j,+1.58924e+06+842833j
2013-08-28 00:38:00 PST,+142961+0j,+1.59106e+06+843561j
2013-08-28 00:39:00 PST,+142961+0j,+1.59281e+06+844402j
2013-08-28 00:40:00 PST,+142961+0j,+1.59131e+06+843763j
2013-08-28 00:41:00 PST,+142962+0j,+1.58319e+06+841126j
2013-08-28 00:42:00 PST,+142962+0j,+1.57746e+06+839720j
2013-08-28 00:43:00 PST,+142962+0j,+1.57163e+06+838423j
2013-08-28 00:44:00 PST,+142962+0j,+1.56263e+06+835669j
2013-08-28 00:45:00 PST,+142962+0j,+1.5537e+06+832807j
2013-08-28 00:46:00 PST,+142961+0j,+1.55286e+06+832560j
2013-08-28 00:47:00 PST,+142961+0j,+1.55497e+06+833502j
2013-08-28 00:48:00 PST,+142961+0j,+1.55594e+06+833782j
2013-08-28 00:49:00 PST,+142961+0j,+1.55497e+06+833162j
2013-08-28 00:50:00 PST,+142961+0j,+1.55515e+06+833204j
2013-08-28 00:51:00 PST,+142966+0j,+1.55738e+06+834199j
2013-08-28 00:52:00 PST,+142966+0j,+1.55839e+06+834490j
2013-08-28 00:53:00 PST,+142966+0j,+1.55746e+06+833880j
2013-08-28 00:54:00 PST,+142966+0j,+1.55767e+06+833932j
2013-08-28 00:55:00 PST,+142966+0j,+1.55983e+06+834888j
2013-08-28 00:56:00 PST,+142965+0j,+1.5607e+06+835138j
2013-08-28 00:57:00 PST,+142965+0j,+1.55961e+06+834483j
2013-08-28 00:58:00 PST,+142965+0j,+1.55967e+06+834492j
2013-08-28 00:59:00 PST,+142965+0j,+1.56167e+06+835406j
2013-08-28 01:00:00 PST,+142965+0j,+1.56253e+06+835654j
2013-08-28 01:01:00 PST,+142911+0j,+1.55943e+06+834254j
2013-08-28 01:02:00 PST,+142911+0j,+1.56018e+06+834679j
2013-08-28 01:03:00 PST,+142911+0j,+1.56087e+06+835220j
2013-08-28 01:04:00 PST,+142911+0j,+1.55841e+06+834312j
2013-08-28 01:05:00 PST,+142911+0j,+1.55601e+06+833288j
2013-08-28 01:06:00 PST,+142914+0j,+1.55882e+06+834305j
