# file...... output/IEEE_123_feeder_0_swing_node.csv
# date...... Thu Dec 13 12:24:03 2018
# user...... mukh614
# host...... (null)
# target.... substation 3
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load
2013-08-28 00:00:00 PST,+138000+0i,+2.85317e+06+923706j
2013-08-28 00:01:00 PST,+138000+0i,+2.85697e+06+924908j
2013-08-28 00:02:00 PST,+138000+0i,+2.86311e+06+926883j
2013-08-28 00:03:00 PST,+138000+0i,+2.86711e+06+928153j
2013-08-28 00:04:00 PST,+138000+0i,+2.86986e+06+928756j
2013-08-28 00:05:00 PST,+138000+0i,+2.87386e+06+930025j
2013-08-28 00:06:00 PST,+138000+0i,+2.86928e+06+928914j
2013-08-28 00:07:00 PST,+138000+0i,+2.86066e+06+926198j
2013-08-28 00:08:00 PST,+138000+0i,+2.85035e+06+922806j
2013-08-28 00:09:00 PST,+138000+0i,+2.84174e+06+920091j
2013-08-28 00:10:00 PST,+138000+0i,+2.83272e+06+917249j
2013-08-28 00:11:00 PST,+138000+0i,+2.83707e+06+918613j
2013-08-28 00:12:00 PST,+138000+0i,+2.8422e+06+920237j
2013-08-28 00:13:00 PST,+138000+0i,+2.84691e+06+921728j
2013-08-28 00:14:00 PST,+138000+0i,+2.85123e+06+923062j
2013-08-28 00:15:00 PST,+138000+0i,+2.85595e+06+924545j
2013-08-28 00:16:00 PST,+138000+0i,+2.85406e+06+923967j
2013-08-28 00:17:00 PST,+138000+0i,+2.85145e+06+923149j
2013-08-28 00:18:00 PST,+138000+0i,+2.85052e+06+923015j
2013-08-28 00:19:00 PST,+138000+0i,+2.84791e+06+922194j
2013-08-28 00:20:00 PST,+138000+0i,+2.84156e+06+919868j
2013-08-28 00:21:00 PST,+138000+0i,+2.83765e+06+918629j
2013-08-28 00:22:00 PST,+138000+0i,+2.83736e+06+918872j
2013-08-28 00:23:00 PST,+138000+0i,+2.83334e+06+917614j
2013-08-28 00:24:00 PST,+138000+0i,+2.82564e+06+914871j
2013-08-28 00:25:00 PST,+138000+0i,+2.82165e+06+913609j
2013-08-28 00:26:00 PST,+138000+0i,+2.82759e+06+915806j
2013-08-28 00:27:00 PST,+138000+0i,+2.83033e+06+916675j
2013-08-28 00:28:00 PST,+138000+0i,+2.82938e+06+916046j
2013-08-28 00:29:00 PST,+138000+0i,+2.83213e+06+916902j
2013-08-28 00:30:00 PST,+138000+0i,+2.83859e+06+919257j
2013-08-28 00:31:00 PST,+138000+0i,+2.83769e+06+918985j
2013-08-28 00:32:00 PST,+138000+0i,+2.83277e+06+917109j
2013-08-28 00:33:00 PST,+138000+0i,+2.83157e+06+916723j
2013-08-28 00:34:00 PST,+138000+0i,+2.83406e+06+917835j
2013-08-28 00:35:00 PST,+138000+0i,+2.83284e+06+917458j
2013-08-28 00:36:00 PST,+138000+0i,+2.82916e+06+915977j
2013-08-28 00:37:00 PST,+138000+0i,+2.82933e+06+916021j
2013-08-28 00:38:00 PST,+138000+0i,+2.83318e+06+917561j
2013-08-28 00:39:00 PST,+138000+0i,+2.83333e+06+917616j
2013-08-28 00:40:00 PST,+138000+0i,+2.82979e+06+916175j
2013-08-28 00:41:00 PST,+138000+0i,+2.8232e+06+914095j
2013-08-28 00:42:00 PST,+138000+0i,+2.81939e+06+913234j
2013-08-28 00:43:00 PST,+138000+0i,+2.8119e+06+910889j
2013-08-28 00:44:00 PST,+138000+0i,+2.80083e+06+907100j
2013-08-28 00:45:00 PST,+138000+0i,+2.79338e+06+904756j
2013-08-28 00:46:00 PST,+138000+0i,+2.7965e+06+906066j
2013-08-28 00:47:00 PST,+138000+0i,+2.79708e+06+906253j
2013-08-28 00:48:00 PST,+138000+0i,+2.79255e+06+904230j
2013-08-28 00:49:00 PST,+138000+0i,+2.79314e+06+904407j
2013-08-28 00:50:00 PST,+138000+0i,+2.79883e+06+906794j
2013-08-28 00:51:00 PST,+138000+0i,+2.79943e+06+906991j
2013-08-28 00:52:00 PST,+138000+0i,+2.79494e+06+904975j
2013-08-28 00:53:00 PST,+138000+0i,+2.79556e+06+905165j
2013-08-28 00:54:00 PST,+138000+0i,+2.8013e+06+907568j
2013-08-28 00:55:00 PST,+138000+0i,+2.80191e+06+907767j
2013-08-28 00:56:00 PST,+138000+0i,+2.79727e+06+905706j
2013-08-28 00:57:00 PST,+138000+0i,+2.79774e+06+905846j
2013-08-28 00:58:00 PST,+138000+0i,+2.80334e+06+908205j
2013-08-28 00:59:00 PST,+138000+0i,+2.80379e+06+908356j
2013-08-28 01:00:00 PST,+138000+0i,+2.79912e+06+906284j
2013-08-28 01:01:00 PST,+138000+0i,+2.79849e+06+906078j
2013-08-28 01:02:00 PST,+138000+0i,+2.80275e+06+908022j
2013-08-28 01:03:00 PST,+138000+0i,+2.80187e+06+907753j
2013-08-28 01:04:00 PST,+138000+0i,+2.79588e+06+905271j
2013-08-28 01:05:00 PST,+138000+0i,+2.79502e+06+904995j
2013-08-28 01:06:00 PST,+138000+0i,+2.80131e+06+907569j
2013-08-28 01:07:00 PST,+138000+0i,+2.80291e+06+908080j
2013-08-28 01:08:00 PST,+138000+0i,+2.79939e+06+906368j
2013-08-28 01:09:00 PST,+138000+0i,+2.801e+06+906867j
2013-08-28 01:10:00 PST,+138000+0i,+2.80777e+06+909592j
2013-08-28 01:11:00 PST,+138000+0i,+2.80771e+06+909581j
2013-08-28 01:12:00 PST,+138000+0i,+2.80365e+06+907982j
2013-08-28 01:13:00 PST,+138000+0i,+2.8032e+06+907834j
2013-08-28 01:14:00 PST,+138000+0i,+2.80634e+06+909144j
2013-08-28 01:15:00 PST,+138000+0i,+2.80587e+06+909005j
2013-08-28 01:16:00 PST,+138000+0i,+2.79866e+06+906420j
2013-08-28 01:17:00 PST,+138000+0i,+2.79421e+06+905017j
2013-08-28 01:18:00 PST,+138000+0i,+2.79329e+06+905061j
2013-08-28 01:19:00 PST,+138000+0i,+2.78881e+06+903663j
2013-08-28 01:20:00 PST,+138000+0i,+2.77929e+06+900087j
2013-08-28 01:21:00 PST,+138000+0i,+2.78066e+06+900507j
2013-08-28 01:22:00 PST,+138000+0i,+2.78875e+06+903640j
2013-08-28 01:23:00 PST,+138000+0i,+2.79178e+06+904599j
2013-08-28 01:24:00 PST,+138000+0i,+2.78974e+06+903351j
2013-08-28 01:25:00 PST,+138000+0i,+2.79277e+06+904295j
2013-08-28 01:26:00 PST,+138000+0i,+2.79329e+06+905062j
2013-08-28 01:27:00 PST,+138000+0i,+2.78632e+06+902884j
2013-08-28 01:28:00 PST,+138000+0i,+2.77434e+06+898541j
2013-08-28 01:29:00 PST,+138000+0i,+2.76742e+06+896369j
2013-08-28 01:30:00 PST,+138000+0i,+2.76541e+06+896355j
2013-08-28 01:31:00 PST,+138000+0i,+2.76412e+06+895957j
2013-08-28 01:32:00 PST,+138000+0i,+2.75981e+06+894006j
2013-08-28 01:33:00 PST,+138000+0i,+2.76043e+06+894193j
2013-08-28 01:34:00 PST,+138000+0i,+2.76597e+06+896529j
2013-08-28 01:35:00 PST,+138000+0i,+2.76658e+06+896726j
2013-08-28 01:36:00 PST,+138000+0i,+2.76408e+06+895338j
2013-08-28 01:37:00 PST,+138000+0i,+2.76718e+06+896300j
2013-08-28 01:38:00 PST,+138000+0i,+2.77525e+06+899425j
2013-08-28 01:39:00 PST,+138000+0i,+2.77835e+06+900402j
2013-08-28 01:40:00 PST,+138000+0i,+2.77644e+06+899196j
2013-08-28 01:41:00 PST,+138000+0i,+2.77609e+06+899079j
2013-08-28 01:42:00 PST,+138000+0i,+2.7794e+06+900721j
2013-08-28 01:43:00 PST,+138000+0i,+2.77769e+06+900192j
2013-08-28 01:44:00 PST,+138000+0i,+2.771e+06+897498j
2013-08-28 01:45:00 PST,+138000+0i,+2.76932e+06+896963j
2013-08-28 01:46:00 PST,+138000+0i,+2.77179e+06+898344j
2013-08-28 01:47:00 PST,+138000+0i,+2.76895e+06+897463j
2013-08-28 01:48:00 PST,+138000+0i,+2.76118e+06+894434j
2013-08-28 01:49:00 PST,+138000+0i,+2.75837e+06+893550j
2013-08-28 01:50:00 PST,+138000+0i,+2.76046e+06+894809j
2013-08-28 01:51:00 PST,+138000+0i,+2.76105e+06+895001j
2013-08-28 01:52:00 PST,+138000+0i,+2.75825e+06+893520j
2013-08-28 01:53:00 PST,+138000+0i,+2.76036e+06+894173j
2013-08-28 01:54:00 PST,+138000+0i,+2.76741e+06+896977j
2013-08-28 01:55:00 PST,+138000+0i,+2.76952e+06+897643j
2013-08-28 01:56:00 PST,+138000+0i,+2.76413e+06+895355j
2013-08-28 01:57:00 PST,+138000+0i,+2.76251e+06+894839j
2013-08-28 01:58:00 PST,+138000+0i,+2.76581e+06+896477j
2013-08-28 01:59:00 PST,+138000+0i,+2.76416e+06+895968j
2013-08-28 02:00:00 PST,+138000+0i,+2.7576e+06+893318j
2013-08-28 02:01:00 PST,+138000+0i,+2.75937e+06+893863j
