# file...... output/IEEE_123_feeder_0_swing_node.csv
# date...... Thu Dec 13 12:25:02 2018
# user...... mukh614
# host...... (null)
# target.... substation 3
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load
2013-08-28 00:00:00 PST,+138000+0i,+2.85317e+06+923706j
2013-08-28 00:01:00 PST,+142512+0j,+2.92345e+06+954452j
2013-08-28 00:02:00 PST,+142512+0j,+2.90553e+06+946084j
2013-08-28 00:03:00 PST,+142512+0j,+2.89356e+06+940246j
2013-08-28 00:04:00 PST,+142512+0j,+2.88002e+06+933671j
2013-08-28 00:05:00 PST,+142512+0j,+2.86826e+06+927945j
2013-08-28 00:06:00 PST,+142499+0j,+2.86182e+06+925940j
2013-08-28 00:07:00 PST,+142499+0j,+2.85354e+06+923333j
2013-08-28 00:08:00 PST,+142499+0j,+2.85037e+06+922955j
2013-08-28 00:09:00 PST,+142499+0j,+2.84176e+06+920250j
2013-08-28 00:10:00 PST,+142499+0j,+2.8336e+06+917591j
2013-08-28 00:11:00 PST,+142523+0j,+2.83834e+06+919143j
2013-08-28 00:12:00 PST,+142523+0j,+2.84261e+06+920584j
2013-08-28 00:13:00 PST,+142523+0j,+2.84733e+06+922065j
2013-08-28 00:14:00 PST,+142523+0j,+2.85251e+06+923586j
2013-08-28 00:15:00 PST,+142523+0j,+2.85722e+06+925079j
2013-08-28 00:16:00 PST,+142475+0j,+2.85364e+06+923940j
2013-08-28 00:17:00 PST,+142475+0j,+2.85104e+06+923116j
2013-08-28 00:18:00 PST,+142475+0j,+2.85058e+06+923027j
2013-08-28 00:19:00 PST,+142475+0j,+2.84797e+06+922211j
2013-08-28 00:20:00 PST,+142475+0j,+2.84322e+06+920670j
2013-08-28 00:21:00 PST,+142479+0j,+2.83938e+06+919463j
2013-08-28 00:22:00 PST,+142479+0j,+2.83583e+06+918246j
2013-08-28 00:23:00 PST,+142479+0j,+2.83182e+06+916991j
2013-08-28 00:24:00 PST,+142479+0j,+2.82736e+06+915702j
2013-08-28 00:25:00 PST,+142479+0j,+2.82337e+06+914440j
2013-08-28 00:26:00 PST,+142495+0j,+2.82636e+06+915311j
2013-08-28 00:27:00 PST,+142495+0j,+2.82909e+06+916178j
2013-08-28 00:28:00 PST,+142495+0j,+2.83139e+06+917000j
2013-08-28 00:29:00 PST,+142495+0j,+2.83413e+06+917858j
2013-08-28 00:30:00 PST,+142495+0j,+2.83733e+06+918754j
2013-08-28 00:31:00 PST,+142447+0j,+2.83562e+06+918114j
2013-08-28 00:32:00 PST,+142447+0j,+2.83396e+06+917698j
2013-08-28 00:33:00 PST,+142447+0j,+2.83275e+06+917312j
2013-08-28 00:34:00 PST,+142447+0j,+2.83364e+06+917644j
2013-08-28 00:35:00 PST,+142447+0j,+2.83243e+06+917268j
2013-08-28 00:36:00 PST,+142448+0j,+2.83037e+06+916575j
2013-08-28 00:37:00 PST,+142448+0j,+2.83053e+06+916618j
2013-08-28 00:38:00 PST,+142448+0j,+2.83279e+06+917379j
2013-08-28 00:39:00 PST,+142448+0j,+2.83294e+06+917434j
2013-08-28 00:40:00 PST,+142448+0j,+2.831e+06+916773j
2013-08-28 00:41:00 PST,+142450+0j,+2.82443e+06+914705j
2013-08-28 00:42:00 PST,+142450+0j,+2.81741e+06+912403j
2013-08-28 00:43:00 PST,+142450+0j,+2.80995e+06+910064j
2013-08-28 00:44:00 PST,+142450+0j,+2.80204e+06+907706j
2013-08-28 00:45:00 PST,+142450+0j,+2.79459e+06+905362j
2013-08-28 00:46:00 PST,+142449+0j,+2.79457e+06+905246j
2013-08-28 00:47:00 PST,+142449+0j,+2.79514e+06+905432j
2013-08-28 00:48:00 PST,+142449+0j,+2.79528e+06+905589j
2013-08-28 00:49:00 PST,+142449+0j,+2.79587e+06+905766j
2013-08-28 00:50:00 PST,+142449+0j,+2.79688e+06+905971j
2013-08-28 00:51:00 PST,+142453+0j,+2.79757e+06+906203j
2013-08-28 00:52:00 PST,+142453+0j,+2.79775e+06+906371j
2013-08-28 00:53:00 PST,+142453+0j,+2.79838e+06+906561j
2013-08-28 00:54:00 PST,+142453+0j,+2.79943e+06+906779j
2013-08-28 00:55:00 PST,+142453+0j,+2.80004e+06+906977j
2013-08-28 00:56:00 PST,+142453+0j,+2.80008e+06+907097j
2013-08-28 00:57:00 PST,+142453+0j,+2.80055e+06+907238j
2013-08-28 00:58:00 PST,+142453+0j,+2.80145e+06+907408j
2013-08-28 00:59:00 PST,+142453+0j,+2.8019e+06+907558j
2013-08-28 01:00:00 PST,+142453+0j,+2.80193e+06+907676j
2013-08-28 01:01:00 PST,+142398+0j,+2.80038e+06+907056j
2013-08-28 01:02:00 PST,+142398+0j,+2.79995e+06+906811j
2013-08-28 01:03:00 PST,+142398+0j,+2.80067e+06+907201j
2013-08-28 01:04:00 PST,+142398+0j,+2.79936e+06+906905j
2013-08-28 01:05:00 PST,+142398+0j,+2.79691e+06+905973j
2013-08-28 01:06:00 PST,+142401+0j,+2.79856e+06+906386j
2013-08-28 01:07:00 PST,+142401+0j,+2.80017e+06+906895j
2013-08-28 01:08:00 PST,+142401+0j,+2.80294e+06+908031j
2013-08-28 01:09:00 PST,+142401+0j,+2.80456e+06+908533j
2013-08-28 01:10:00 PST,+142401+0j,+2.805e+06+908403j
2013-08-28 01:11:00 PST,+142397+0j,+2.80488e+06+908359j
2013-08-28 01:12:00 PST,+142397+0j,+2.80558e+06+908848j
2013-08-28 01:13:00 PST,+142397+0j,+2.80513e+06+908701j
2013-08-28 01:14:00 PST,+142397+0j,+2.80351e+06+907925j
2013-08-28 01:15:00 PST,+142397+0j,+2.80305e+06+907786j
2013-08-28 01:16:00 PST,+142398+0j,+2.8006e+06+907291j
2013-08-28 01:17:00 PST,+142398+0j,+2.79614e+06+905887j
2013-08-28 01:18:00 PST,+142398+0j,+2.79052e+06+903864j
2013-08-28 01:19:00 PST,+142398+0j,+2.78606e+06+902469j
2013-08-28 01:20:00 PST,+142398+0j,+2.78116e+06+901059j
2013-08-28 01:21:00 PST,+142408+0j,+2.7827e+06+901559j
2013-08-28 01:22:00 PST,+142408+0j,+2.78617e+06+902526j
2013-08-28 01:23:00 PST,+142408+0j,+2.78919e+06+903481j
2013-08-28 01:24:00 PST,+142408+0j,+2.7918e+06+904406j
2013-08-28 01:25:00 PST,+142408+0j,+2.79484e+06+905352j
2013-08-28 01:26:00 PST,+142406+0j,+2.79065e+06+903922j
2013-08-28 01:27:00 PST,+142406+0j,+2.78371e+06+901752j
2013-08-28 01:28:00 PST,+142406+0j,+2.77633e+06+899569j
2013-08-28 01:29:00 PST,+142406+0j,+2.7694e+06+897394j
2013-08-28 01:30:00 PST,+142406+0j,+2.76287e+06+895246j
2013-08-28 01:31:00 PST,+142388+0j,+2.7613e+06+894721j
2013-08-28 01:32:00 PST,+142388+0j,+2.76149e+06+894900j
2013-08-28 01:33:00 PST,+142388+0j,+2.76211e+06+895087j
2013-08-28 01:34:00 PST,+142388+0j,+2.76314e+06+895291j
2013-08-28 01:35:00 PST,+142388+0j,+2.76375e+06+895486j
2013-08-28 01:36:00 PST,+142392+0j,+2.76584e+06+896264j
2013-08-28 01:37:00 PST,+142392+0j,+2.76894e+06+897227j
2013-08-28 01:38:00 PST,+142392+0j,+2.77246e+06+898206j
2013-08-28 01:39:00 PST,+142392+0j,+2.77555e+06+899180j
2013-08-28 01:40:00 PST,+142392+0j,+2.77822e+06+900126j
2013-08-28 01:41:00 PST,+142386+0j,+2.77776e+06+899963j
2013-08-28 01:42:00 PST,+142386+0j,+2.77649e+06+899451j
2013-08-28 01:43:00 PST,+142386+0j,+2.77479e+06+898924j
2013-08-28 01:44:00 PST,+142386+0j,+2.77267e+06+898379j
2013-08-28 01:45:00 PST,+142386+0j,+2.77098e+06+897844j
2013-08-28 01:46:00 PST,+142383+0j,+2.76886e+06+897062j
2013-08-28 01:47:00 PST,+142383+0j,+2.76603e+06+896184j
2013-08-28 01:48:00 PST,+142383+0j,+2.76279e+06+895292j
2013-08-28 01:49:00 PST,+142383+0j,+2.75998e+06+894407j
2013-08-28 01:50:00 PST,+142383+0j,+2.75757e+06+893540j
2013-08-28 01:51:00 PST,+142390+0j,+2.75827e+06+893781j
2013-08-28 01:52:00 PST,+142390+0j,+2.75996e+06+894427j
2013-08-28 01:53:00 PST,+142390+0j,+2.76208e+06+895081j
2013-08-28 01:54:00 PST,+142390+0j,+2.7646e+06+895750j
2013-08-28 01:55:00 PST,+142390+0j,+2.76671e+06+896414j
2013-08-28 01:56:00 PST,+142388+0j,+2.76582e+06+896250j
2013-08-28 01:57:00 PST,+142388+0j,+2.7642e+06+895735j
2013-08-28 01:58:00 PST,+142388+0j,+2.76298e+06+895239j
2013-08-28 01:59:00 PST,+142388+0j,+2.76134e+06+894732j
2013-08-28 02:00:00 PST,+142388+0j,+2.75928e+06+894211j
2013-08-28 02:01:00 PST,+142383+0j,+2.76097e+06+894720j
2013-08-28 02:02:00 PST,+142383+0j,+2.76486e+06+895814j
2013-08-28 02:03:00 PST,+142383+0j,+2.76832e+06+896903j
2013-08-28 02:04:00 PST,+142383+0j,+2.77137e+06+897968j
2013-08-28 02:05:00 PST,+142383+0j,+2.77485e+06+899049j
2013-08-28 02:06:00 PST,+142377+0j,+2.77216e+06+898078j
2013-08-28 02:07:00 PST,+142377+0j,+2.76569e+06+896060j
2013-08-28 02:08:00 PST,+142377+0j,+2.7588e+06+894034j
2013-08-28 02:09:00 PST,+142377+0j,+2.75234e+06+892010j
2013-08-28 02:10:00 PST,+142377+0j,+2.74627e+06+890006j
2013-08-28 02:11:00 PST,+142390+0j,+2.74706e+06+890289j
2013-08-28 02:12:00 PST,+142390+0j,+2.75127e+06+891717j
2013-08-28 02:13:00 PST,+142390+0j,+2.75589e+06+893154j
2013-08-28 02:14:00 PST,+142390+0j,+2.76093e+06+894602j
2013-08-28 02:15:00 PST,+142390+0j,+2.76553e+06+896050j
2013-08-28 02:16:00 PST,+142346+0j,+2.76446e+06+895725j
2013-08-28 02:17:00 PST,+142346+0j,+2.76174e+06+894870j
2013-08-28 02:18:00 PST,+142346+0j,+2.75943e+06+894035j
2013-08-28 02:19:00 PST,+142346+0j,+2.7567e+06+893188j
2013-08-28 02:20:00 PST,+142346+0j,+2.75356e+06+892331j
2013-08-28 02:21:00 PST,+142349+0j,+2.75382e+06+892409j
2013-08-28 02:22:00 PST,+142349+0j,+2.75632e+06+893068j
2013-08-28 02:23:00 PST,+142349+0j,+2.75839e+06+893723j
2013-08-28 02:24:00 PST,+142349+0j,+2.76006e+06+894358j
2013-08-28 02:25:00 PST,+142349+0j,+2.76214e+06+895004j
2013-08-28 02:26:00 PST,+142345+0j,+2.76102e+06+894526j
2013-08-28 02:27:00 PST,+142345+0j,+2.7571e+06+893309j
2013-08-28 02:28:00 PST,+142345+0j,+2.75277e+06+892082j
2013-08-28 02:29:00 PST,+142345+0j,+2.74887e+06+890857j
2013-08-28 02:30:00 PST,+142345+0j,+2.74536e+06+889649j
2013-08-28 02:31:00 PST,+142374+0j,+2.74683e+06+890180j
2013-08-28 02:32:00 PST,+142374+0j,+2.75097e+06+891589j
2013-08-28 02:33:00 PST,+142374+0j,+2.75553e+06+893007j
2013-08-28 02:34:00 PST,+142374+0j,+2.76051e+06+894435j
2013-08-28 02:35:00 PST,+142374+0j,+2.76505e+06+895862j
2013-08-28 02:36:00 PST,+142367+0j,+2.76502e+06+895950j
2013-08-28 02:37:00 PST,+142367+0j,+2.76245e+06+895141j
2013-08-28 02:38:00 PST,+142367+0j,+2.76029e+06+894350j
2013-08-28 02:39:00 PST,+142367+0j,+2.7577e+06+893549j
2013-08-28 02:40:00 PST,+142367+0j,+2.75471e+06+892735j
