,IEEE_123_feeder_0/charge_EV6,IEEE_123_feeder_0/charge_EV5,IEEE_123_feeder_0/charge_EV4,IEEE_123_feeder_0/charge_EV3,IEEE_123_feeder_0/charge_EV2,IEEE_123_feeder_0/charge_EV1,time,feeder_load(real)
0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,2853.1696113942044
1,200.0,200.0,200.0,200.0,200.0,200.0,0.08333333333333333,2880.0227242343826
2,200.0,200.0,200.0,200.0,200.0,200.0,0.16666666666666666,2841.7599490483362
3,200.0,200.0,200.0,200.0,200.0,200.0,0.25,2852.5145042820873
4,200.0,200.0,200.0,200.0,200.0,200.0,0.3333333333333333,2847.965964422453
5,200.0,200.0,200.0,200.0,200.0,200.0,0.4166666666666667,2827.3612102334987
6,200.0,200.0,200.0,200.0,200.0,200.0,0.5,2834.1338296745166
7,200.0,200.0,200.0,200.0,200.0,200.0,0.5833333333333334,2833.643331080627
8,200.0,200.0,200.0,200.0,200.0,200.0,0.6666666666666666,2832.942191032867
9,200.0,200.0,200.0,200.0,200.0,200.0,0.75,2802.0412804743014
10,200.0,200.0,200.0,200.0,200.0,200.0,0.8333333333333334,2795.8703066944563
11,200.0,200.0,200.0,200.0,200.0,200.0,0.9166666666666666,2799.4304578299234
12,200.0,200.0,200.0,200.0,200.0,200.0,1.0,2801.903710677952
13,200.0,200.0,200.0,200.0,200.0,200.0,1.0833333333333333,2799.3633247200514
14,200.0,200.0,200.0,200.0,200.0,200.0,1.1666666666666667,2804.558422657088
15,200.0,200.0,200.0,200.0,200.0,200.0,1.25,2803.5093193147454
16,200.0,200.0,200.0,200.0,200.0,200.0,1.3333333333333333,2786.0550448538693
17,200.0,200.0,200.0,200.0,200.0,200.0,1.4166666666666667,2791.8010319540117
18,200.0,200.0,200.0,200.0,200.0,200.0,1.5,2769.4003759910884
19,200.0,200.0,200.0,200.0,200.0,200.0,1.5833333333333333,2763.14431815397
20,200.0,200.0,200.0,200.0,200.0,200.0,1.6666666666666667,2775.5462776372037
21,200.0,200.0,200.0,200.0,200.0,200.0,1.75,2772.6669841631015
22,200.0,200.0,200.0,200.0,200.0,200.0,1.8333333333333333,2759.976812667833
23,200.0,200.0,200.0,200.0,200.0,200.0,1.9166666666666667,2764.604844787234
24,200.0,200.0,200.0,200.0,200.0,200.0,2.0,2761.3355660713614
25,200.0,200.0,200.0,200.0,200.0,200.0,2.0833333333333335,2771.370808418957
26,200.0,200.0,200.0,200.0,200.0,200.0,2.1666666666666665,2752.339101470304
27,200.0,200.0,200.0,200.0,200.0,200.0,2.25,2760.925508830214
28,200.0,200.0,200.0,200.0,200.0,200.0,2.3333333333333335,2756.7048234870495
29,200.0,200.0,200.0,200.0,200.0,200.0,2.4166666666666665,2760.0550713257844
30,200.0,200.0,200.0,200.0,200.0,200.0,2.5,2748.870547102463
31,200.0,200.0,200.0,200.0,200.0,200.0,2.5833333333333335,2760.5059811199735
32,200.0,200.0,200.0,200.0,200.0,200.0,2.6666666666666665,2757.7047845527895
33,200.0,200.0,200.0,200.0,200.0,200.0,2.75,2753.2277227183736
34,200.0,200.0,200.0,200.0,200.0,200.0,2.8333333333333335,2740.0201657446287
35,200.0,200.0,200.0,200.0,200.0,200.0,2.9166666666666665,2735.2095231987882
36,200.0,200.0,200.0,200.0,200.0,200.0,3.0,2752.052981110388
37,200.0,200.0,200.0,200.0,200.0,200.0,3.0833333333333335,2745.4456404903726
38,200.0,200.0,200.0,200.0,200.0,200.0,3.1666666666666665,2752.1628711841577
39,200.0,200.0,200.0,200.0,200.0,200.0,3.25,2753.900340342859
40,200.0,200.0,200.0,200.0,200.0,200.0,3.3333333333333335,2756.405690234765
41,200.0,200.0,200.0,200.0,200.0,200.0,3.4166666666666665,2762.009483201837
42,200.0,200.0,200.0,200.0,200.0,200.0,3.5,2747.579147786828
43,200.0,200.0,200.0,200.0,200.0,200.0,3.5833333333333335,2748.6843098214804
44,200.0,200.0,200.0,200.0,200.0,200.0,3.6666666666666665,2740.448570745489
45,200.0,200.0,200.0,200.0,200.0,200.0,3.75,2742.498818816271
46,200.0,200.0,200.0,200.0,200.0,200.0,3.8333333333333335,2758.3982738533364
47,200.0,200.0,200.0,200.0,200.0,200.0,3.9166666666666665,2760.912641596946
48,200.0,200.0,200.0,200.0,200.0,200.0,4.0,2765.6923970896632
49,200.0,200.0,200.0,200.0,200.0,200.0,4.083333333333333,2769.0667326441435
50,200.0,200.0,200.0,200.0,200.0,200.0,4.166666666666667,2769.3368819576076
51,200.0,200.0,200.0,200.0,200.0,200.0,4.25,2761.8792718337195
52,200.0,200.0,200.0,200.0,200.0,200.0,4.333333333333333,2746.433061371079
53,200.0,200.0,200.0,200.0,200.0,200.0,4.416666666666667,2766.498771681846
54,200.0,200.0,200.0,200.0,200.0,200.0,4.5,2774.2413228623664
55,200.0,200.0,200.0,200.0,200.0,200.0,4.583333333333333,2776.8796921718576
56,200.0,200.0,200.0,200.0,200.0,200.0,4.666666666666667,2772.287079920389
57,200.0,200.0,200.0,200.0,200.0,200.0,4.75,2755.187671950345
58,200.0,200.0,200.0,200.0,200.0,200.0,4.833333333333333,2768.946669332858
