,IEEE_123_feeder_0/charge_EV6,IEEE_123_feeder_0/charge_EV5,IEEE_123_feeder_0/charge_EV4,IEEE_123_feeder_0/charge_EV3,IEEE_123_feeder_0/charge_EV2,IEEE_123_feeder_0/charge_EV1,time,feeder_load(real)
0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,2853.1696113942044
1,200.0,200.0,200.0,200.0,200.0,200.0,0.25,2851.226679635215
2,200.0,200.0,200.0,200.0,200.0,200.0,0.5,2832.1281757127067
3,200.0,200.0,200.0,200.0,200.0,200.0,0.75,2800.8261981677665
4,200.0,200.0,200.0,200.0,200.0,200.0,1.0,2803.7944386050776
5,200.0,200.0,200.0,200.0,200.0,200.0,1.25,2806.3369010909746
6,200.0,200.0,200.0,200.0,200.0,200.0,1.5,2767.4236124086033
7,200.0,200.0,200.0,200.0,200.0,200.0,1.75,2771.001519967418
8,200.0,200.0,200.0,200.0,200.0,200.0,2.0,2764.155849789409
9,200.0,200.0,200.0,200.0,200.0,200.0,2.25,2762.195783173062
10,200.0,200.0,200.0,200.0,200.0,200.0,2.5,2747.882444077716
11,200.0,200.0,200.0,200.0,200.0,200.0,2.75,2751.841185718771
12,200.0,200.0,200.0,200.0,200.0,200.0,3.0,2753.624937906463
13,200.0,200.0,200.0,200.0,200.0,200.0,3.25,2755.4733906265647
14,200.0,200.0,200.0,200.0,200.0,200.0,3.5,2746.107770031297
15,200.0,200.0,200.0,200.0,200.0,200.0,3.75,2740.9296414678615
16,200.0,200.0,200.0,200.0,200.0,200.0,4.0,2768.908279967133
17,200.0,200.0,200.0,200.0,200.0,200.0,4.25,2764.8436198178024
18,200.0,200.0,200.0,200.0,200.0,200.0,4.5,2772.418073209971
19,200.0,200.0,200.0,200.0,200.0,200.0,4.75,2753.170631081357
20,200.0,200.0,200.0,200.0,200.0,200.0,5.0,2798.0159647225096
21,200.0,200.0,200.0,200.0,200.0,200.0,5.25,2791.6328176651436
22,200.0,200.0,200.0,200.0,200.0,200.0,5.5,2813.5801214816083
23,200.0,200.0,200.0,200.0,200.0,200.0,5.75,2800.9174447094724
24,200.0,200.0,200.0,200.0,200.0,200.0,6.0,2854.040340941789
25,200.0,200.0,200.0,200.0,200.0,200.0,6.25,2899.3944853149333
26,200.0,200.0,200.0,200.0,200.0,200.0,6.5,2899.0801411530224
27,200.0,200.0,200.0,200.0,200.0,200.0,6.75,2940.080406030548
28,200.0,200.0,200.0,200.0,200.0,200.0,7.0,2986.44153420221
29,200.0,200.0,200.0,200.0,200.0,200.0,7.25,3055.127793386963
30,200.0,200.0,200.0,200.0,200.0,200.0,7.5,3140.693899577709
31,200.0,200.0,200.0,200.0,200.0,200.0,7.75,3194.875447570623
32,200.0,200.0,200.0,200.0,200.0,200.0,8.0,3246.603360141634
33,200.0,200.0,200.0,200.0,200.0,200.0,8.25,3330.8659032704736
34,200.0,200.0,200.0,200.0,200.0,200.0,8.5,3467.689718057758
35,200.0,200.0,200.0,200.0,200.0,200.0,8.75,3500.2807426997856
36,200.0,200.0,200.0,200.0,200.0,200.0,9.0,3618.479599100654
37,200.0,200.0,200.0,200.0,200.0,200.0,9.25,3671.875999797474
38,200.0,200.0,200.0,200.0,200.0,200.0,9.5,3796.735031122316
39,200.0,200.0,200.0,200.0,200.0,200.0,9.75,3787.5558773576067
40,200.0,200.0,200.0,200.0,200.0,200.0,10.0,3910.6344630787485
41,200.0,200.0,200.0,200.0,200.0,200.0,10.25,3962.1318823311112
42,200.0,200.0,200.0,200.0,200.0,200.0,10.5,4006.386790510819
43,200.0,200.0,200.0,200.0,200.0,200.0,10.75,4147.681585814077
44,200.0,200.0,200.0,200.0,200.0,200.0,11.0,4180.189216510579
45,200.0,200.0,200.0,200.0,200.0,200.0,11.25,4193.379039795909
46,200.0,200.0,200.0,200.0,200.0,200.0,11.5,4327.037366048055
47,200.0,200.0,200.0,200.0,200.0,200.0,11.75,4358.884282619704
48,200.0,200.0,200.0,200.0,200.0,200.0,12.0,4466.626775104333
49,200.0,200.0,200.0,200.0,200.0,200.0,12.25,4525.2694074999545
50,200.0,200.0,200.0,200.0,200.0,200.0,12.5,4694.261925716639
51,200.0,200.0,200.0,200.0,200.0,200.0,12.75,4702.159876428073
52,200.0,200.0,200.0,200.0,200.0,200.0,13.0,4831.754112620452
53,200.0,200.0,200.0,200.0,200.0,200.0,13.25,4828.814787871647
54,200.0,200.0,200.0,200.0,200.0,200.0,13.5,4817.658429255965
55,200.0,200.0,200.0,200.0,200.0,200.0,13.75,4946.963971497645
56,200.0,200.0,200.0,200.0,200.0,200.0,14.0,4803.021317376858
57,200.0,200.0,200.0,200.0,200.0,200.0,14.25,4914.903721572151
58,200.0,200.0,200.0,200.0,200.0,200.0,14.5,4931.182894994866
59,200.0,200.0,200.0,200.0,200.0,200.0,14.75,4959.9742622831
60,200.0,200.0,200.0,200.0,200.0,200.0,15.0,4981.587674646397
61,200.0,200.0,200.0,200.0,200.0,200.0,15.25,4803.3959699912875
62,200.0,200.0,200.0,200.0,200.0,200.0,15.5,4887.642326745593
63,200.0,200.0,200.0,200.0,200.0,200.0,15.75,4842.103744448922
64,200.0,200.0,200.0,200.0,200.0,200.0,16.0,4834.30200862609
65,200.0,200.0,200.0,200.0,200.0,200.0,16.25,4866.323800748212
66,200.0,200.0,200.0,200.0,200.0,200.0,16.5,4926.7855292955655
67,200.0,200.0,200.0,200.0,200.0,200.0,16.75,4716.148445155026
68,200.0,200.0,200.0,200.0,200.0,200.0,17.0,4612.318070151044
69,200.0,200.0,200.0,200.0,200.0,200.0,17.25,4672.993470155802
70,200.0,200.0,200.0,200.0,200.0,200.0,17.5,4433.02778200781
71,200.0,200.0,200.0,200.0,200.0,200.0,17.75,4374.840736246033
72,200.0,200.0,200.0,200.0,200.0,200.0,18.0,4386.032849695262
73,200.0,200.0,200.0,200.0,200.0,200.0,18.25,4256.2250082359515
74,200.0,200.0,200.0,200.0,200.0,200.0,18.5,4143.452717437449
75,200.0,200.0,200.0,200.0,200.0,200.0,18.75,3902.643619967134
76,200.0,200.0,200.0,200.0,200.0,200.0,19.0,3842.6660392614904
77,200.0,200.0,200.0,200.0,200.0,200.0,19.25,3661.903901368559
78,200.0,200.0,200.0,200.0,200.0,200.0,19.5,3642.0442810572804
79,200.0,200.0,200.0,200.0,200.0,200.0,19.75,3559.9846944424676
80,200.0,200.0,200.0,200.0,200.0,200.0,20.0,3505.9467633843246
81,200.0,200.0,200.0,200.0,200.0,200.0,20.25,3516.8955681847456
82,200.0,200.0,200.0,200.0,200.0,200.0,20.5,3547.3745248975592
83,200.0,200.0,200.0,200.0,200.0,200.0,20.75,3537.950295994387
84,200.0,200.0,200.0,200.0,200.0,200.0,21.0,3550.1941507185297
85,200.0,200.0,200.0,200.0,200.0,200.0,21.25,3394.1553809806733
86,200.0,200.0,200.0,200.0,200.0,200.0,21.5,3371.1236496957413
87,200.0,200.0,200.0,200.0,200.0,200.0,21.75,3268.4637087809197
88,200.0,200.0,200.0,200.0,200.0,200.0,22.0,3258.0191323556883
89,200.0,200.0,200.0,200.0,200.0,200.0,22.25,3196.427249068647
90,200.0,200.0,200.0,200.0,200.0,200.0,22.5,3113.233190509624
91,200.0,200.0,200.0,200.0,200.0,200.0,22.75,3119.1715278798424
92,200.0,200.0,200.0,200.0,200.0,200.0,23.0,3161.0408677503624
93,200.0,200.0,200.0,200.0,200.0,200.0,23.25,3260.460215926264
94,200.0,200.0,200.0,200.0,200.0,200.0,23.5,3191.9432750108804
95,200.0,200.0,200.0,200.0,200.0,200.0,23.75,3157.184029501001
